"Section","Variable","Test","Effect","Stat","DF","p","Sig","N","Removed"
"S1-Implicitness","1.1 Completion","Chi-square","Group",5.796,"2",0.0551,"†",90,0
"S1-Implicitness","1.2 Enjoyment","One-way ANOVA","Implicitness",1.663,"2,87",0.1956,"ns",90,0
"S1-Implicitness","1.3 Engagement","One-way ANOVA","Implicitness",2.055,"2,87",0.1343,"ns",90,0
"S1-Implicitness","1.4 Scaffolding","One-way ANOVA","Implicitness",1.562,"2,87",0.2156,"ns",90,0
"S1-Implicitness","1.5 Stars","One-way ANOVA","Implicitness",1.251,"2,81",0.2918,"ns",84,6
"S1-Implicitness","1.6 Deaths","One-way ANOVA","Implicitness",0.498,"2,80",0.6097,"ns",83,7
"S1-Implicitness","1.7 Total Time","One-way ANOVA","Implicitness",0.999,"2,80",0.373,"ns",83,7
"S1-Implicitness","1.8 BPS","One-way ANOVA","Implicitness",0.024,"2,84",0.9763,"ns",87,3
"S1-Implicitness","1.9a L6 Time","One-way ANOVA","Implicitness",1.629,"2,57",0.2052,"ns",60,5
"S1-Implicitness","1.9b L6 BPS","One-way ANOVA","Implicitness",0.845,"2,59",0.4348,"ns",62,3
"S1-Implicitness","1.9c L7 Time","One-way ANOVA","Implicitness",0.002,"2,37",0.9983,"ns",40,4
"S1-Implicitness","1.9d L7 BPS","One-way ANOVA","Implicitness",0.02,"2,38",0.98,"ns",41,3
"S2-Adaptability","2.1 Completion","Chi-square","Group",0.913,"1",0.3394,"ns",90,0
"S2-Adaptability","2.2 Enjoyment","Welch t-test","Adaptability",1.792,"77.7",0.077,"†",90,0
"S2-Adaptability","2.3 Engagement","Welch t-test","Adaptability",2.107,"72.6",0.0386,"*",90,0
"S2-Adaptability","2.4 Scaffolding","Welch t-test","Adaptability",2.222,"75.3",0.0293,"*",90,0
"S2-Adaptability","2.5 Stars","Welch t-test","Adaptability",0.562,"81.4",0.5759,"ns",84,6
"S2-Adaptability","2.6 Deaths","Welch t-test","Adaptability",-0.869,"63.9",0.3882,"ns",83,7
"S2-Adaptability","2.7 Total Time","Welch t-test","Adaptability",0.687,"79.2",0.4943,"ns",83,7
"S2-Adaptability","2.8 BPS","Welch t-test","Adaptability",0.721,"72.6",0.4731,"ns",87,3
"S2-Adaptability","2.9a L6 Time","Welch t-test","Adaptability",1.189,"57.8",0.2394,"ns",60,5
"S2-Adaptability","2.9b L6 BPS","Welch t-test","Adaptability",-0.543,"40",0.5902,"ns",62,3
"S2-Adaptability","2.9c L7 Time","Welch t-test","Adaptability",-0.853,"37.1",0.399,"ns",40,4
"S2-Adaptability","2.9d L7 BPS","Welch t-test","Adaptability",1.466,"25",0.1552,"ns",41,3
"S3-Interaction","3.1 Completion","Two-way ANOVA","Adaptability",1.244,"1,84",0.2679,"ns",90,0
"S3-Interaction","3.1 Completion","Two-way ANOVA","Interaction",0.799,"2,84",0.4532,"ns",90,0
"S3-Interaction","3.2 Enjoyment","Two-way ANOVA","Adaptability",3.478,"1,84",0.0657,"†",90,0
"S3-Interaction","3.2 Enjoyment","Two-way ANOVA","Interaction",2.855,"2,84",0.0631,"†",90,0
"S3-Interaction","3.3 Engagement","Two-way ANOVA","Adaptability",4.43,"1,84",0.0383,"*",90,0
"S3-Interaction","3.3 Engagement","Two-way ANOVA","Interaction",0.815,"2,84",0.446,"ns",90,0
"S3-Interaction","3.4 Scaffolding","Two-way ANOVA","Adaptability",4.646,"1,84",0.034,"*",90,0
"S3-Interaction","3.4 Scaffolding","Two-way ANOVA","Interaction",1.015,"2,84",0.3667,"ns",90,0
"S3-Interaction","3.5 Stars","Two-way ANOVA","Adaptability",0.575,"1,78",0.4507,"ns",84,6
"S3-Interaction","3.5 Stars","Two-way ANOVA","Interaction",0.706,"2,78",0.4968,"ns",84,6
"S3-Interaction","3.6 Deaths","Two-way ANOVA","Adaptability",0.936,"1,77",0.3362,"ns",83,7
"S3-Interaction","3.6 Deaths","Two-way ANOVA","Interaction",0.493,"2,77",0.6126,"ns",83,7
"S3-Interaction","3.7 Total Time","Two-way ANOVA","Adaptability",0.32,"1,77",0.5732,"ns",83,7
"S3-Interaction","3.7 Total Time","Two-way ANOVA","Interaction",0.034,"2,77",0.9665,"ns",83,7
"S3-Interaction","3.8 BPS","Two-way ANOVA","Adaptability",0.5,"1,81",0.4816,"ns",87,3
"S3-Interaction","3.8 BPS","Two-way ANOVA","Interaction",0.68,"2,81",0.5097,"ns",87,3
"S3-Interaction","3.9a L6 Time","Two-way ANOVA","Adaptability",0.707,"1,54",0.4043,"ns",60,5
"S3-Interaction","3.9a L6 Time","Two-way ANOVA","Interaction",1.449,"2,54",0.2439,"ns",60,5
"S3-Interaction","3.9b L6 BPS","Two-way ANOVA","Adaptability",0.216,"1,56",0.6439,"ns",62,3
"S3-Interaction","3.9b L6 BPS","Two-way ANOVA","Interaction",0.205,"2,56",0.8156,"ns",62,3
"S3-Interaction","3.9c L7 Time","Two-way ANOVA","Adaptability",0.614,"1,34",0.4386,"ns",40,4
"S3-Interaction","3.9c L7 Time","Two-way ANOVA","Interaction",1.68,"2,34",0.2016,"ns",40,4
"S3-Interaction","3.9d L7 BPS","Two-way ANOVA","Adaptability",2.323,"1,35",0.1365,"ns",41,3
"S3-Interaction","3.9d L7 BPS","Two-way ANOVA","Interaction",0.6,"2,35",0.5544,"ns",41,3
