Timestamp,"Participation is entirely voluntary, and you may withdraw at any time by closing your browser. Do you consent to taking part in this survey?",Age?,Grade Level?,Gender,Are you a professional video game player (you earn a stable income by playing video games)?,What is the code that you were given at the beginning of the game? Please utilize the correct case (capital / lowercase).,What was the first character in this code? Please utilize the correct case (capital / lowercase).,What was the second character in your code? Please utilize the correct case (capital / lowercase).,"Were you able to complete the game? If not, make sure you pressed 'p' before closing the tab.","If you were able to complete it, what is the code that you were given at the end of the game? Please utilize the correct case (capital / lowercase). Leave blank if you were not able to complete the game.",Have you had any prior experience (before this playthrough) with the game utilized in this study?,I felt fully engaged while playing the game.,I wanted to continue playing after the levels ended.,I paid close attention to the game's mechanics while playing.,I enjoyed playing the game.,I would like to play this game again.,I could easily figure out what to do in the game.,"The game was appropriately challenging (not too easy, but not overly-difficult).",Preceding levels helped me understand how to better play subsequent ones.,Preceding levels prepared me for challenges in subsequent levels.,I felt confident in my ability to complete the last level after playing the previous ones.,Timestamp,Code,Implicitness,Adaptability,Level 1 Time,Level 2 Time,Level 3 Time,Level 4 Time,Level 5 Time,Level 6 Time,Level 7 Time,Level 4 Star,Level 5 Star,Level 6 Star,Level 7 Star,Level 1 Deaths,Level 2 Deaths,Level 3 Deaths,Level 4 Deaths,Level 5 Deaths,Level 6 Deaths,Level 7 Deaths,Total Button Presses,Level 1 Button Presses,Level 2 Button Presses,Level 3 Button Presses,Level 4 Button Presses,Level 5 Button Presses,Level 6 Button Presses,Level 7 Button Presses,Total Time,Total Stars,Total Deaths,Average Button Presses per Second,Average Deaths per Level,Average Button Presses per Level
3/6/2026 11:17:51,Yes,16,11,Male,No,ma808588,m,a,Yes,ma808588,No,5,2,4,4,4,1,3,2,3,5,3/6/2026 11:16:53,ma808588,moderate,yes,20.2447,6.0108,3.9127,232.5529,32.9174,45.1718,171.1638,TRUE,TRUE,FALSE,FALSE,0,0,0,34,2,1,6,1376,7,14,6,732,84,90,443,511.9741,2,43,2.687635957,6.142857143,196.5714286
3/6/2026 11:19:56,Yes,17,11,Female,No,nb047296,n,b,No,,No,4,5,4,4,3,3,2,5,5,3,3/6/2026 11:20:25,nb047296,low,no,22.7151,3.9129,3.9127,9.9069,14.369,85.7651,0,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,134,9,6,2,32,36,49,0,140.5817,1,0,0.9531823843,0,19.14285714
3/6/2026 12:15:29,Yes,17,11,Male,No,na529731,n,a,Yes,na529731,No,4,2,4,3,2,2,3,2,4,2,3/6/2026 12:11:21,na529731,low,yes,32.6207,12.4822,6.0492,128.4699,9.5489,69.8261,427.0549,FALSE,FALSE,FALSE,FALSE,0,0,0,10,0,0,15,1957,7,39,24,553,26,154,1154,686.0519,0,25,2.852553867,3.571428571,279.5714286
3/6/2026 12:38:56,Yes,16,11,Male,No,nb416902,n,b,Yes,nb416902,No,4,5,1,4,4,5,3,5,5,5,3/6/2026 12:38:22,nb416902,low,no,56.5254,4.3497,3.9163,6.6159,17.0148,25.0807,36.3795,FALSE,TRUE,FALSE,FALSE,0,0,0,1,1,0,1,325,11,14,8,28,42,86,136,149.8823,1,3,2.168368113,0.4285714286,46.42857143
3/6/2026 13:02:30,Yes,16,11,Female,No,mb510221,m,b,No,,No,2,2,1,1,1,1,3,4,4,2,3/6/2026 12:38:40,mb510221,moderate,no,96.0231,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,96.0231,0,0,0.2499398582,0,3.428571429
3/6/2026 13:45:32,Yes,16,11,Male,No,ma274979,m,a,Yes,ma274979,No,3,2,4,4,3,4,4,4,2,4,3/6/2026 13:44:55,ma274979,moderate,yes,47.3948,3.9163,3.9163,27.3138,21.2644,27.7305,110.3882,FALSE,TRUE,FALSE,FALSE,0,0,0,3,1,0,2,522,16,9,6,62,30,71,328,241.9243,2,6,2.157699743,0.8571428571,74.57142857
3/6/2026 22:08:01,Yes,16,11,Male,No,ib969424,i,a,No,,No,4,3,4,3,3,4,4,3,4,4,3/6/2026 22:00:28,ib969424,high,no,70.721,10.3397,4.945,63.1542,39.3444,63.0042,27.6226,TRUE,TRUE,FALSE,FALSE,0,0,0,5,1,3,0,508,11,26,14,168,56,150,83,279.1311,3,9,1.819933357,1.285714286,72.57142857
3/7/2026 10:21:09,Yes,16,11,Female,No,ma849683,m,a,No,,No,3,1,4,4,3,4,4,4,4,1,3/7/2026 10:20:32,ma849683,moderate,yes,27.9304,5.095,5.095,22.5776,42.1082,0,0,FALSE,TRUE,FALSE,FALSE,0,0,0,5,0,0,0,144,1,14,8,50,71,0,0,102.8062,1,5,1.400693732,0.7142857143,20.57142857
3/7/2026 16:53:31,Yes,16,10,Male,No,ib589233,i,b,Yes,ib589233,No,4,4,4,4,3,2,4,5,5,5,3/7/2026 16:52:33,ib589233,high,no,24.783,3.0829,2.5834,8.7919,7.0004,16.5163,32.8,FALSE,TRUE,FALSE,FALSE,0,0,0,1,0,1,1,279,7,12,4,46,16,50,144,95.5579,1,3,2.919695807,0.4285714286,39.85714286
3/8/2026 13:46:37,Yes,16,11,Male,No,mb664826,m,b,Yes,mb664826,No,5,5,5,4,5,4,5,4,4,5,3/8/2026 13:46:48,mb664826,moderate,no,25.4711,4.3493,4.7992,15.1639,22.5129,19.7469,97.2827,FALSE,TRUE,FALSE,FALSE,0,0,0,1,1,0,3,477,3,10,8,50,50,52,304,189.326,1,5,2.519463782,0.7142857143,68.14285714
